auc,TP,FP,FN,TN,Pos Prop,n,mu1,mu2,deltamu,sig1,sig2,deltasig,effectsize,pospred
0.9296296296296296,0.026,0.004,0.002,0.268,0.1,500,0,4.4,4.4,1,1.0,0.0,2.664834613130015,0.028
0.9,0.024,0.006,0.0,0.27,0.1,500,0,4.5,4.5,1,1.0,0.0,2.728912980120096,0.024
1.0,0.03,0.0,0.0,0.27,0.1,500,0,4.6,4.6,1,1.0,0.0,2.7466739930255017,0.03
0.9333333333333333,0.026,0.004,0.0,0.27,0.1,500,0,4.7,4.7,1,1.0,0.0,2.7542903216825256,0.026
0.8925925925925927,0.024,0.006,0.004,0.266,0.1,500,0,4.8,4.8,1,1.0,0.0,2.754210700540571,0.028
0.9333333333333333,0.026,0.004,0.0,0.27,0.1,500,0,4.9,4.9,1,1.0,0.0,2.778562313283624,0.026
1.0,0.03,0.0,0.0,0.27,0.1,500,0,5.0,5.0,1,1.0,0.0,2.824144441142559,0.03
1.0,0.03,0.0,0.0,0.27,0.1,500,0,5.1,5.1,1,1.0,0.0,2.821802245446245,0.03
0.9666666666666667,0.028,0.002,0.0,0.27,0.1,500,0,5.2,5.2,1,1.0,0.0,2.848942131209664,0.028
0.9666666666666667,0.028,0.002,0.0,0.27,0.1,500,0,5.3,5.3,1,1.0,0.0,2.923531054721337,0.028
0.9666666666666667,0.028,0.002,0.0,0.27,0.1,500,0,5.4,5.4,1,1.0,0.0,2.8100465302627913,0.028
1.0,0.03,0.0,0.0,0.27,0.1,500,0,5.5,5.5,1,1.0,0.0,2.76679004513836,0.03
1.0,0.03,0.0,0.0,0.27,0.1,500,0,5.6,5.6,1,1.0,0.0,2.8748188595925854,0.03
0.9333333333333333,0.026,0.004,0.0,0.27,0.1,500,0,5.7,5.7,1,1.0,0.0,2.900372562557698,0.026
0.9333333333333333,0.026,0.004,0.0,0.27,0.1,500,0,5.8,5.8,1,1.0,0.0,3.0353074680825287,0.026
0.9333333333333333,0.026,0.004,0.0,0.27,0.1,500,0,5.9,5.9,1,1.0,0.0,2.962610625531032,0.026
0.9333333333333333,0.026,0.004,0.0,0.27,0.1,500,0,6.0,6.0,1,1.0,0.0,2.979524667242968,0.026
1.0,0.03,0.0,0.0,0.27,0.1,500,0,6.1,6.1,1,1.0,0.0,2.990572485457045,0.03
1.0,0.03,0.0,0.0,0.27,0.1,500,0,6.2,6.2,1,1.0,0.0,2.8567171446665287,0.03
0.9666666666666667,0.028,0.002,0.0,0.27,0.1,500,0,6.3,6.3,1,1.0,0.0,2.843979754464628,0.028
1.0,0.03,0.0,0.0,0.27,0.1,500,0,6.4,6.4,1,1.0,0.0,2.9650798937165925,0.03
1.0,0.03,0.0,0.0,0.27,0.1,500,0,6.5,6.5,1,1.0,0.0,2.9249051727932014,0.03
1.0,0.03,0.0,0.0,0.27,0.1,500,0,6.6,6.6,1,1.0,0.0,2.967083237000098,0.03
1.0,0.03,0.0,0.0,0.27,0.1,500,0,6.7,6.7,1,1.0,0.0,2.9901440754343938,0.03
0.9666666666666667,0.028,0.002,0.0,0.27,0.1,500,0,6.8,6.8,1,1.0,0.0,3.0206995573156545,0.028
0.9666666666666667,0.028,0.002,0.0,0.27,0.1,500,0,6.9,6.9,1,1.0,0.0,2.9769423406434954,0.028
1.0,0.03,0.0,0.0,0.27,0.1,500,0,7.0,7.0,1,1.0,0.0,3.0183226912659924,0.03
0.9666666666666667,0.028,0.002,0.0,0.27,0.1,500,0,7.1,7.1,1,1.0,0.0,2.9999065228947335,0.028
1.0,0.03,0.0,0.0,0.27,0.1,500,0,7.2,7.2,1,1.0,0.0,3.065438378558863,0.03
1.0,0.03,0.0,0.0,0.27,0.1,500,0,7.3,7.3,1,1.0,0.0,3.0944177677902296,0.03
1.0,0.03,0.0,0.0,0.27,0.1,500,0,7.4,7.4,1,1.0,0.0,3.1247950249400485,0.03
1.0,0.03,0.0,0.0,0.27,0.1,500,0,7.5,7.5,1,1.0,0.0,3.1036839844992947,0.03
1.0,0.03,0.0,0.0,0.27,0.1,500,0,7.6,7.6,1,1.0,0.0,3.02687085290519,0.03
1.0,0.03,0.0,0.0,0.27,0.1,500,0,7.7,7.7,1,1.0,0.0,3.082597270458921,0.03
1.0,0.03,0.0,0.0,0.27,0.1,500,0,7.8,7.8,1,1.0,0.0,2.9974618733320746,0.03
1.0,0.03,0.0,0.0,0.27,0.1,500,0,7.9,7.9,1,1.0,0.0,3.0878375179460735,0.03
1.0,0.03,0.0,0.0,0.27,0.1,500,0,8.0,8.0,1,1.0,0.0,3.0381635269740075,0.03
0.9666666666666667,0.028,0.002,0.0,0.27,0.1,500,0,8.1,8.1,1,1.0,0.0,3.0014408110333166,0.028
1.0,0.03,0.0,0.0,0.27,0.1,500,0,8.2,8.2,1,1.0,0.0,3.0950729336150884,0.03
1.0,0.03,0.0,0.0,0.27,0.1,500,0,8.3,8.3,1,1.0,0.0,3.132128744138574,0.03
1.0,0.03,0.0,0.0,0.27,0.1,500,0,8.4,8.4,1,1.0,0.0,3.0611880642637574,0.03
1.0,0.03,0.0,0.0,0.27,0.1,500,0,8.5,8.5,1,1.0,0.0,3.135297410832467,0.03
1.0,0.03,0.0,0.0,0.27,0.1,500,0,8.6,8.6,1,1.0,0.0,3.1267655547001723,0.03
1.0,0.03,0.0,0.0,0.27,0.1,500,0,8.7,8.7,1,1.0,0.0,3.13069916291827,0.03
1.0,0.03,0.0,0.0,0.27,0.1,500,0,8.8,8.8,1,1.0,0.0,3.031432830653343,0.03
1.0,0.03,0.0,0.0,0.27,0.1,500,0,8.9,8.9,1,1.0,0.0,3.1782270028141464,0.03
1.0,0.03,0.0,0.0,0.27,0.1,500,0,9.0,9.0,1,1.0,0.0,3.076769533118939,0.03
1.0,0.03,0.0,0.0,0.27,0.1,500,0,9.1,9.1,1,1.0,0.0,3.1559233707827747,0.03
1.0,0.03,0.0,0.0,0.27,0.1,500,0,9.2,9.2,1,1.0,0.0,3.106717358703261,0.03
1.0,0.03,0.0,0.0,0.27,0.1,500,0,9.3,9.3,1,1.0,0.0,3.1874806336810244,0.03
1.0,0.03,0.0,0.0,0.27,0.1,500,0,9.4,9.4,1,1.0,0.0,3.1617316476312065,0.03
1.0,0.03,0.0,0.0,0.27,0.1,500,0,9.5,9.5,1,1.0,0.0,3.212470594138756,0.03
1.0,0.03,0.0,0.0,0.27,0.1,500,0,9.6,9.6,1,1.0,0.0,3.231145091232152,0.03
1.0,0.03,0.0,0.0,0.27,0.1,500,0,9.7,9.7,1,1.0,0.0,3.1925760169979798,0.03
1.0,0.03,0.0,0.0,0.27,0.1,500,0,9.8,9.8,1,1.0,0.0,3.2012602161732784,0.03
1.0,0.03,0.0,0.0,0.27,0.1,500,0,9.9,9.9,1,1.0,0.0,3.107464402451679,0.03
0.5,0.0,0.03,0.0,0.27,0.1,500,0,0.0,0.0,1,2.0,1.0,0.0,0.0
0.5,0.0,0.03,0.0,0.27,0.1,500,0,0.1,0.1,1,2.0,1.0,0.052996281664080505,0.0
0.5,0.0,0.03,0.0,0.27,0.1,500,0,0.2,0.2,1,2.0,1.0,0.1016561127012421,0.0
0.5,0.0,0.03,0.0,0.27,0.1,500,0,0.3,0.3,1,2.0,1.0,0.15013882191492578,0.0
0.5,0.0,0.03,0.0,0.27,0.1,500,0,0.4,0.4,1,2.0,1.0,0.19741136237653106,0.0
0.5,0.0,0.03,0.0,0.27,0.1,500,0,0.5,0.5,1,2.0,1.0,0.26920030339843803,0.0
0.5,0.0,0.03,0.0,0.27,0.1,500,0,0.6,0.6,1,2.0,1.0,0.2972427866551383,0.0
0.5,0.0,0.03,0.0,0.27,0.1,500,0,0.7,0.7,1,2.0,1.0,0.35765918282554754,0.0
0.5,0.0,0.03,0.0,0.27,0.1,500,0,0.8,0.8,1,2.0,1.0,0.44871805384520586,0.0
0.5,0.0,0.03,0.0,0.27,0.1,500,0,0.9,0.9,1,2.0,1.0,0.49749569366047613,0.0
0.5,0.0,0.03,0.0,0.27,0.1,500,0,1.0,1.0,1,2.0,1.0,0.493948158778712,0.0
0.5,0.0,0.03,0.0,0.27,0.1,500,0,1.1,1.1,1,2.0,1.0,0.5575940151227403,0.0
0.5,0.0,0.03,0.0,0.27,0.1,500,0,1.2,1.2,1,2.0,1.0,0.5950705218017097,0.0
0.4962962962962963,0.0,0.03,0.002,0.268,0.1,500,0,1.3,1.3,1,2.0,1.0,0.684451350566234,0.002
0.4962962962962963,0.0,0.03,0.002,0.268,0.1,500,0,1.4,1.4,1,2.0,1.0,0.7160871922072949,0.002
0.4962962962962963,0.0,0.03,0.002,0.268,0.1,500,0,1.5,1.5,1,2.0,1.0,0.7774478048420806,0.002
0.4962962962962963,0.0,0.03,0.002,0.268,0.1,500,0,1.6,1.6,1,2.0,1.0,0.7902471698342435,0.002
0.5259259259259259,0.002,0.028,0.004,0.266,0.1,500,0,1.7,1.7,1,2.0,1.0,0.8224516280060991,0.006
0.5,0.0,0.03,0.0,0.27,0.1,500,0,1.8,1.8,1,2.0,1.0,0.870605250610074,0.0
0.5,0.0,0.03,0.0,0.27,0.1,500,0,1.9,1.9,1,2.0,1.0,0.946807043718976,0.0
0.5,0.0,0.03,0.0,0.27,0.1,500,0,2.0,2.0,1,2.0,1.0,0.949987266806473,0.0
0.5518518518518518,0.004,0.026,0.008,0.262,0.1,500,0,2.1,2.1,1,2.0,1.0,1.075277336775341,0.012
0.5296296296296297,0.002,0.028,0.002,0.268,0.1,500,0,2.2,2.2,1,2.0,1.0,1.0956167924059004,0.004
0.4925925925925926,0.0,0.03,0.004,0.266,0.1,500,0,2.3,2.3,1,2.0,1.0,1.1003064908711024,0.004
0.4962962962962963,0.0,0.03,0.002,0.268,0.1,500,0,2.4,2.4,1,2.0,1.0,1.1692470560068182,0.002
0.5148148148148147,0.002,0.028,0.01,0.26,0.1,500,0,2.5,2.5,1,2.0,1.0,1.2149272607494288,0.012
0.5296296296296297,0.002,0.028,0.002,0.268,0.1,500,0,2.6,2.6,1,2.0,1.0,1.2652736245924532,0.004
0.4888888888888889,0.0,0.03,0.006,0.264,0.1,500,0,2.7,2.7,1,2.0,1.0,1.2238045379154876,0.006
0.6074074074074074,0.008,0.022,0.014,0.256,0.1,500,0,2.8,2.8,1,2.0,1.0,1.3594419299444473,0.022
0.5592592592592592,0.004,0.026,0.004,0.266,0.1,500,0,2.9,2.9,1,2.0,1.0,1.3601112273355853,0.008
0.5592592592592592,0.004,0.026,0.004,0.266,0.1,500,0,3.0,3.0,1,2.0,1.0,1.4298929988094855,0.008
0.48518518518518516,0.0,0.03,0.008,0.262,0.1,500,0,3.1,3.1,1,2.0,1.0,1.5014699819233177,0.008
0.7925925925925925,0.018,0.012,0.004,0.266,0.1,500,0,3.2,3.2,1,2.0,1.0,1.508019245693429,0.022
0.6222222222222222,0.008,0.022,0.006,0.264,0.1,500,0,3.3,3.3,1,2.0,1.0,1.5279002480971586,0.014
0.5777777777777777,0.006,0.024,0.012,0.258,0.1,500,0,3.4,3.4,1,2.0,1.0,1.5455870796544595,0.018
0.7814814814814814,0.018,0.012,0.01,0.26,0.1,500,0,3.5,3.5,1,2.0,1.0,1.5767258707022125,0.028
0.6518518518518519,0.01,0.02,0.008,0.262,0.1,500,0,3.6,3.6,1,2.0,1.0,1.628147528618865,0.018
0.6666666666666667,0.01,0.02,0.0,0.27,0.1,500,0,3.7,3.7,1,2.0,1.0,1.648134021720853,0.01
0.9185185185185185,0.026,0.004,0.008,0.262,0.1,500,0,3.8,3.8,1,2.0,1.0,1.638910632774271,0.034
0.788888888888889,0.018,0.012,0.006,0.264,0.1,500,0,3.9,3.9,1,2.0,1.0,1.729879105369331,0.024
0.7703703703703704,0.018,0.012,0.016,0.254,0.1,500,0,4.0,4.0,1,2.0,1.0,1.7922145368817393,0.034
0.7777777777777778,0.018,0.012,0.012,0.258,0.1,500,0,4.1,4.1,1,2.0,1.0,1.8277758842736198,0.03
